bowler,total_balls,total_runs,total_wickets,boundaries_conceded,dots,economy,dot_pct,wicket_rate
A Simelane,170,273,8,31,39,9.635294117647058,0.22941176470588234,0.047058823529411764
A Siriwardhana,242,187,10,17,130,4.636363636363636,0.5371900826446281,0.04132231404958678
A Sokovagone,25,40,0,4,6,9.6,0.24,0.0
A Stocks,297,230,20,9,130,4.646464646464646,0.4377104377104377,0.06734006734006734
A Stoilova,13,28,0,4,5,12.923076923076923,0.38461538461538464,0.0
A Stonehouse,1363,1065,46,141,828,4.688187820983126,0.607483492296405,0.03374908290535583
A Suda,7,7,0,1,4,6.0,0.5714285714285714,0.0
A Surenkumar,405,409,14,39,188,6.059259259259259,0.4641975308641975,0.0345679012345679
A Sutherland,2641,2281,118,254,1388,5.182127981825066,0.5255585005679667,0.044680045437334344
A Suwanchonrathi,98,77,5,7,52,4.714285714285714,0.5306122448979592,0.05102040816326531
